Player,Pos,Team2026,AuctionValue,StatSource
Bo Nix,QB,DEN,2,2025 actual stats
Matthew Stafford,QB,LAR,2,2025 actual stats
Jake Ferguson,TE,DAL,2,2025 actual stats
Makai Lemon,WR,PHI,2,2026 projection - rookie / did not play 2025
Isaiah Likely,TE,NYG,2,2026 projection - changed teams (BAL->NYG)
Quentin Johnston,WR,LAC,2,2025 actual stats
Jacory Croskey-Merritt,RB,WSH,2,2025 actual stats
Jayden Reed,WR,GB,2,2026 projection - only 7 games in 2025 (injury)
Mark Andrews,TE,BAL,2,2025 actual stats
De'Zhaun Stribling,WR,SF,1,2026 projection - rookie / did not play 2025
Kyler Murray,QB,MIN,1,2026 projection - changed teams (ARI->MIN)
Xavier Worthy,WR,KC,1,2025 actual stats
Romeo Doubs,WR,NE,1,2026 projection - changed teams (GB->NE)
Jalen Coker,WR,CAR,1,2025 actual stats
Dalton Kincaid,TE,BUF,1,2025 actual stats
Tyjae Spears,RB,TEN,1,2025 actual stats
Tyler Shough,QB,NO,1,2025 actual stats
Jordan Mason,RB,MIN,1,2025 actual stats
Deebo Samuel Sr.,WR,SF,1,2026 projection - changed teams (WSH->SF)
Jared Goff,QB,DET,1,2025 actual stats
Woody Marks,RB,HOU,1,2025 actual stats
KC Concepcion,WR,CLE,1,2026 projection - rookie / did not play 2025
Jalen McMillan,WR,TB,1,2026 projection - only 4 games in 2025 (injury)
Zach Charbonnet,RB,SEA,1,2025 actual stats
Jonah Coleman,RB,DEN,1,2026 projection - rookie / did not play 2025
Baker Mayfield,QB,TB,1,2025 actual stats
Isiah Pacheco,RB,DET,1,2026 projection - changed teams (KC->DET)
Chris Rodriguez Jr.,RB,JAX,1,2026 projection - changed teams (WSH->JAX)
Daniel Jones,QB,IND,1,2025 actual stats
Juwan Johnson,TE,NO,1,2025 actual stats
Alvin Kamara,RB,NO,1,2025 actual stats
